,leave,active,winback,new_cancel/suspended,trial_conversion,new_signup,new_leave,new_winback,re-activation
2024-01-31,266.0,305.0,43.0,4.0,0.0,21.0,6.0,1.0,1.0
2024-02-29,267.0,307.0,42.0,8.0,0.0,11.0,3.0,3.0,1.0
2024-03-31,271.0,301.0,38.0,8.0,0.0,7.0,4.0,2.0,0.0
2024-04-30,273.0,312.0,40.0,7.0,0.0,18.0,6.0,5.0,0.0
2024-05-31,279.0,310.0,41.0,9.0,0.0,12.0,7.0,2.0,0.0
2024-06-30,287.0,308.0,40.0,9.0,0.0,15.0,8.0,1.0,1.0
2024-07-31,291.0,311.0,37.0,7.0,0.0,14.0,5.0,2.0,0.0
2024-08-31,295.0,308.0,35.0,4.0,0.0,8.0,7.0,1.0,0.0
2024-09-30,296.0,310.0,36.0,9.0,0.0,12.0,3.0,2.0,0.0
2024-10-31,297.0,323.0,42.0,3.0,0.0,15.0,2.0,4.0,0.0
2024-11-30,308.0,327.0,46.0,6.0,0.0,19.0,13.0,5.0,0.0
2024-12-31,313.0,322.0,44.0,6.0,0.0,9.0,8.0,1.0,0.0
