,leave,active,winback,new_cancel/suspended,trial_conversion,new_signup,new_leave,new_winback,re-activation
2023-01-31,232.0,287.0,33.0,4.0,0.0,11.0,7.0,3.0,0.0
2023-02-28,233.0,296.0,36.0,6.0,0.0,13.0,5.0,4.0,0.0
2023-03-31,237.0,290.0,33.0,8.0,0.0,6.0,5.0,1.0,0.0
2023-04-30,239.0,289.0,34.0,6.0,0.0,7.0,5.0,2.0,0.0
2023-05-31,247.0,281.0,35.0,9.0,0.0,8.0,8.0,1.0,0.0
2023-06-30,250.0,276.0,35.0,10.0,0.0,7.0,4.0,2.0,0.0
2023-07-31,249.0,273.0,36.0,7.0,0.0,2.0,1.0,3.0,0.0
2023-08-31,251.0,274.0,39.0,7.0,0.0,8.0,6.0,4.0,1.0
2023-09-30,250.0,282.0,42.0,6.0,0.0,12.0,3.0,6.0,0.0
2023-10-31,255.0,293.0,43.0,4.0,0.0,16.0,6.0,5.0,0.0
2023-11-30,257.0,295.0,43.0,14.0,0.0,14.0,2.0,3.0,0.0
2023-12-31,262.0,300.0,47.0,6.0,0.0,9.0,6.0,4.0,0.0
